Region	StartNode	EndNode	NumArcs	NumNodes	0.1	0.2	0.4	0.6	0.8
NY	1	142307	733846	264347	826808	857237	918094	978952	1039809
NY	1	59682	733846	264347	1381850	1454390	1599471	1744552	1889633
BAY	1	108392	794830	321271	2162991	2277974	2507940	2737906	2967872
BAY	1	274115	794830	321271	1429314	1481538	1585986	1690434	1794882
COL	1	378121	1042400	435667	5873552	6007692	6275971	6544251	6812530
COL	1	21490	1042400	435667	1705701	1790970	1961509	2132047	2302586
FLA	1	864203	2687902	1070377	6310021	6392985	6558913	6724842	6890770
FLA	1	173595	2687902	1070377	6257037	6337419	6498184	6658949	6819714
NW	1	491378	2820774	1207946	6387000	6648169	7170507	7692844	8215182
NW	1	1002401	2820774	1207946	9812140	10340461	11397103	12453745	13510387
NE	1	1319762	3868020	1524454	1518227	1590427	1734826	1879225	2023624
NE	1	292107	3868020	1524454	2563898	2697869	2965811	3233753	3501695
CAL	1	1743089	4630444	1890816	8304624	8780295	9731637	10682980	11634322
CAL	1	358624	4630444	1890816	10964505	11411120	12304350	13197581	14090811
