Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config,RecursoMáximo,UsoRecursoRelativo,Aprox_vs_base
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY10839201.txt,2010324,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY10839201.txt,2010324,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY10839201.txt,2010324,,
edge block,,,,,1.0,config_BAY10839201.txt,2010324,,
edge penalization,,,,,1.0,config_BAY10839201.txt,2010324,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY10839202.txt,1972640,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY10839202.txt,1972640,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY10839202.txt,1972640,,
edge block,,,,,1.0,config_BAY10839202.txt,1972640,,
edge penalization,,,,,1.0,config_BAY10839202.txt,1972640,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY10839204.txt,1897272,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY10839204.txt,1897272,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY10839204.txt,1897272,,
edge block,,,,,1.0,config_BAY10839204.txt,1897272,,
edge penalization,,,,,1.0,config_BAY10839204.txt,1897272,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY10839206.txt,1821904,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY10839206.txt,1821904,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY10839206.txt,1821904,,
edge block,,,,,1.0,config_BAY10839206.txt,1821904,,
edge penalization,,,,,1.0,config_BAY10839206.txt,1821904,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY10839208.txt,1746536,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY10839208.txt,1746536,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY10839208.txt,1746536,,
edge block,,,,,1.0,config_BAY10839208.txt,1746536,,
edge penalization,,,,,1.0,config_BAY10839208.txt,1746536,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY27411501.txt,1350750,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY27411501.txt,1350750,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY27411501.txt,1350750,,
edge block,,,,,1.0,config_BAY27411501.txt,1350750,,
edge penalization,,,,,1.0,config_BAY27411501.txt,1350750,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY27411502.txt,1324410,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY27411502.txt,1324410,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY27411502.txt,1324410,,
edge block,,,,,1.0,config_BAY27411502.txt,1324410,,
edge penalization,,,,,1.0,config_BAY27411502.txt,1324410,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY27411504.txt,1271730,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY27411504.txt,1271730,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY27411504.txt,1271730,,
edge block,,,,,1.0,config_BAY27411504.txt,1271730,,
edge penalization,,,,,1.0,config_BAY27411504.txt,1271730,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY27411506.txt,1219050,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY27411506.txt,1219050,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY27411506.txt,1219050,,
edge block,,,,,1.0,config_BAY27411506.txt,1219050,,
edge penalization,,,,,1.0,config_BAY27411506.txt,1219050,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_BAY27411508.txt,1166370,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_BAY27411508.txt,1166370,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_BAY27411508.txt,1166370,,
edge block,,,,,1.0,config_BAY27411508.txt,1166370,,
edge penalization,,,,,1.0,config_BAY27411508.txt,1166370,,
Algoritmo del Pulso (mÃ¡ximo 3 minutos),,,,,,config_CAL174308901.txt,7624601,,
Algoritmo de buscar en la frontera de pareto,,,,,1.0,config_CAL174308901.txt,7624601,,
Algoritmo de los caminos disyuntos,,,,,1.0,config_CAL174308901.txt,7624601,,
edge block,,,,,1.0,config_CAL174308901.txt,7624601,,
edge penalization,,,,,1.0,config_CAL174308901.txt,7624601,,
